file,verse
pt0105.htm,19
pt0105.htm,20
pt0105.htm,21
pt0105.htm,22
pt0105.htm,23
pt0105.htm,24
pt0105.htm,25
pt0105.htm,26
pt0105.htm,27
pt0105.htm,28
pt0105.htm,29
pt0105.htm,30
pt0105.htm,31
pt0105.htm,32
pt0106.htm,1
pt0106.htm,2
pt0106.htm,3
pt0106.htm,4
pt0106.htm,5
pt0106.htm,6
pt0106.htm,7
pt0106.htm,8
pt0106.htm,9
pt0106.htm,10
pt0106.htm,11
pt0106.htm,12
pt0106.htm,13
pt0106.htm,14
pt0106.htm,15
pt0106.htm,16
pt0106.htm,17
pt0106.htm,18
pt0106.htm,19
pt0106.htm,20
pt0106.htm,21
pt0106.htm,22
pt0107.htm,1
pt0107.htm,2
pt0107.htm,3
pt0107.htm,4
pt0107.htm,5
pt0107.htm,6
pt0107.htm,7
pt0107.htm,8
pt0107.htm,9
pt0107.htm,10
pt0107.htm,11
pt0107.htm,12
pt0107.htm,13
pt0107.htm,14
pt0107.htm,15
pt0107.htm,16
pt0107.htm,17
pt0107.htm,18
pt0107.htm,19
pt0107.htm,20
pt0107.htm,21
pt0107.htm,22
pt0107.htm,23
pt0107.htm,24
pt0108.htm,1
pt0108.htm,2
pt0108.htm,3
pt0108.htm,4
pt0108.htm,5
pt0108.htm,6
pt0108.htm,7
pt0108.htm,8
pt0108.htm,9
pt0108.htm,10
pt0108.htm,11
pt0108.htm,12
pt0108.htm,13
pt0108.htm,14
pt0108.htm,15
pt0108.htm,16
pt0108.htm,17
pt0108.htm,18
pt0108.htm,19
pt0108.htm,20
pt0108.htm,21
pt0108.htm,22
pt0109.htm,1
pt0109.htm,2
pt0109.htm,3
pt0109.htm,4
pt0109.htm,5
pt0109.htm,6
pt0109.htm,7
pt0109.htm,8
pt0109.htm,9
pt0109.htm,10
pt0109.htm,11
pt0109.htm,12
pt0109.htm,13
pt0109.htm,14
pt0109.htm,15
pt0109.htm,16
pt0109.htm,17
pt0109.htm,18
pt0109.htm,19
pt0109.htm,20
pt0109.htm,21
pt0109.htm,22
pt0109.htm,23
pt0109.htm,24
pt0109.htm,25
pt0109.htm,26
pt0109.htm,27
pt0109.htm,28
pt0109.htm,29
pt0110.htm,1
pt0110.htm,2
pt0110.htm,3
pt0110.htm,4
pt0110.htm,5
pt0110.htm,6
pt0110.htm,7
pt0110.htm,8
pt0110.htm,9
pt0110.htm,10
pt0110.htm,11
pt0110.htm,12
pt0110.htm,13
pt0110.htm,14
pt0110.htm,15
pt0110.htm,16
pt0110.htm,17
pt0110.htm,18
pt0110.htm,19
pt0110.htm,20
pt0110.htm,21
pt0110.htm,22
pt0110.htm,23
pt0110.htm,24
pt0110.htm,25
pt0110.htm,26
pt0110.htm,27
pt0110.htm,28
pt0110.htm,29
pt0110.htm,30
pt0110.htm,31
pt0110.htm,32
pt0111.htm,1
pt0111.htm,2
pt0111.htm,3
pt0111.htm,4
pt0111.htm,5
pt0111.htm,6
pt0111.htm,7
pt0111.htm,8
pt0111.htm,9
pt0111.htm,10
pt0111.htm,11
pt0111.htm,12
pt0111.htm,13
pt0111.htm,14
pt0111.htm,15
pt0111.htm,16
pt0111.htm,17
pt0111.htm,18
pt0111.htm,19
pt0111.htm,20
pt0111.htm,21
pt0111.htm,22
pt0111.htm,23
pt0111.htm,24
pt0111.htm,25
pt0111.htm,26
pt0111.htm,27
pt0111.htm,28
pt0111.htm,29
pt0111.htm,30
pt0111.htm,31
pt0111.htm,32
pt0112.htm,1
pt0112.htm,2
pt0112.htm,3
pt0112.htm,4
pt0112.htm,5
pt0112.htm,6
pt0112.htm,7
pt0112.htm,8
pt0112.htm,9
pt0112.htm,10
pt0112.htm,11
pt0112.htm,12
pt0112.htm,13
pt0112.htm,14
pt0112.htm,15
pt0112.htm,16
pt0112.htm,17
pt0112.htm,18
pt0112.htm,19
pt0112.htm,20
pt0113.htm,1
pt0113.htm,2
pt0113.htm,3
pt0113.htm,4
pt0113.htm,5
pt0113.htm,6
pt0113.htm,7
pt0113.htm,8
pt0113.htm,9
pt0113.htm,10
pt0113.htm,11
pt0113.htm,12
pt0113.htm,13
pt0113.htm,14
pt0113.htm,15
pt0113.htm,16
pt0113.htm,17
pt0113.htm,18
pt0114.htm,1
pt0114.htm,2
pt0114.htm,3
pt0114.htm,4
pt0114.htm,5
pt0114.htm,6
pt0114.htm,7
pt0114.htm,8
pt0114.htm,9
pt0114.htm,10
pt0114.htm,11
pt0114.htm,12
pt0114.htm,13
pt0114.htm,14
pt0114.htm,15
pt0114.htm,16
pt0114.htm,17
pt0114.htm,18
pt0114.htm,19
pt0114.htm,20
pt0114.htm,21
pt0114.htm,22
pt0114.htm,23
pt0114.htm,24
pt0115.htm,1
pt0115.htm,2
pt0115.htm,3
pt0115.htm,4
pt0115.htm,5
pt0115.htm,6
pt0115.htm,7
pt0115.htm,8
pt0115.htm,9
pt0115.htm,10
pt0115.htm,11
pt0115.htm,12
pt0115.htm,13
pt0115.htm,14
pt0115.htm,15
pt0115.htm,16
pt0115.htm,17
pt0115.htm,18
pt0115.htm,19
pt0115.htm,20
pt0115.htm,21
pt0116.htm,1
pt0116.htm,2
pt0116.htm,3
pt0116.htm,4
pt0116.htm,5
pt0116.htm,6
pt0116.htm,7
pt0116.htm,8
pt0116.htm,9
pt0116.htm,10
pt0116.htm,11
pt0116.htm,12
pt0116.htm,13
pt0116.htm,14
pt0116.htm,15
pt0116.htm,16
pt0117.htm,1
pt0117.htm,2
pt0117.htm,3
pt0117.htm,4
pt0117.htm,5
pt0117.htm,6
pt0117.htm,7
pt0117.htm,8
pt0117.htm,9
pt0117.htm,10
pt0117.htm,11
pt0117.htm,12
pt0117.htm,13
pt0117.htm,14
pt0117.htm,15
pt0117.htm,16
pt0117.htm,17
pt0117.htm,18
pt0117.htm,19
pt0117.htm,20
pt0117.htm,21
pt0117.htm,22
pt0117.htm,23
pt0117.htm,24
pt0117.htm,25
pt0117.htm,26
pt0117.htm,27
pt0118.htm,1
pt0118.htm,2
pt0118.htm,3
pt0118.htm,4
pt0118.htm,5
pt0118.htm,6
pt0118.htm,7
pt0118.htm,8
pt0118.htm,9
pt0118.htm,10
pt0118.htm,11
pt0118.htm,12
pt0118.htm,13
pt0118.htm,14
pt0118.htm,15
pt0118.htm,16
pt0118.htm,17
pt0118.htm,18
pt0118.htm,19
pt0118.htm,20
pt0118.htm,21
pt0118.htm,22
pt0118.htm,23
pt0118.htm,24
pt0118.htm,25
pt0118.htm,26
pt0118.htm,27
pt0118.htm,28
pt0118.htm,29
pt0118.htm,30
pt0118.htm,31
pt0118.htm,32
pt0118.htm,33
pt0119.htm,1
pt0119.htm,2
pt0119.htm,3
pt0119.htm,4
pt0119.htm,5
pt0119.htm,6
pt0119.htm,7
pt0119.htm,8
pt0119.htm,9
pt0119.htm,10
pt0119.htm,11
pt0119.htm,12
pt0119.htm,13
pt0119.htm,14
pt0119.htm,15
pt0119.htm,16
pt0119.htm,17
pt0119.htm,18
pt0119.htm,19
pt0119.htm,20
pt0119.htm,21
pt0119.htm,22
pt0119.htm,23
pt0119.htm,24
pt0119.htm,25
pt0119.htm,26
pt0119.htm,27
pt0119.htm,28
pt0119.htm,29
pt0119.htm,30
pt0119.htm,31
pt0119.htm,32
pt0119.htm,33
pt0119.htm,34
pt0119.htm,35
pt0119.htm,36
pt0119.htm,37
pt0119.htm,38
pt0120.htm,1
pt0120.htm,2
pt0120.htm,3
pt0120.htm,4
pt0120.htm,5
pt0120.htm,6
pt0120.htm,7
pt0120.htm,8
pt0120.htm,9
pt0120.htm,10
pt0120.htm,11
pt0120.htm,12
pt0120.htm,13
pt0120.htm,14
pt0120.htm,15
pt0120.htm,16
pt0120.htm,17
pt0120.htm,18
pt0121.htm,1
pt0121.htm,2
pt0121.htm,3
pt0121.htm,4
pt0121.htm,5
pt0121.htm,6
pt0121.htm,7
pt0121.htm,8
pt0121.htm,9
pt0121.htm,10
pt0121.htm,11
pt0121.htm,12
pt0121.htm,13
pt0121.htm,14
pt0121.htm,15
pt0121.htm,16
pt0121.htm,17
pt0121.htm,18
pt0121.htm,19
pt0121.htm,20
pt0121.htm,21
pt0121.htm,22
pt0121.htm,23
pt0121.htm,24
pt0121.htm,25
pt0121.htm,26
pt0121.htm,27
pt0121.htm,28
pt0121.htm,29
pt0121.htm,30
pt0121.htm,31
pt0121.htm,32
pt0121.htm,33
pt0121.htm,34
pt0122.htm,1
pt0122.htm,2
pt0122.htm,3
pt0122.htm,4
pt0122.htm,5
pt0122.htm,6
pt0122.htm,7
pt0122.htm,8
pt0122.htm,9
pt0122.htm,10
pt0122.htm,11
pt0122.htm,12
pt0122.htm,13
pt0122.htm,14
pt0122.htm,15
pt0122.htm,16
pt0122.htm,17
pt0122.htm,18
pt0122.htm,19
pt0122.htm,20
pt0122.htm,21
pt0122.htm,22
pt0122.htm,23
pt0122.htm,24
pt0123.htm,1
pt0123.htm,2
pt0123.htm,3
pt0123.htm,4
pt0123.htm,5
pt0123.htm,6
pt0123.htm,7
pt0123.htm,8
pt0123.htm,9
pt0123.htm,10
pt0123.htm,11
pt0123.htm,12
pt0123.htm,13
pt0123.htm,14
pt0123.htm,15
pt0123.htm,16
pt0123.htm,17
pt0123.htm,18
pt0123.htm,19
pt0123.htm,20
pt0124.htm,1
pt0124.htm,2
pt0124.htm,3
pt0124.htm,4
pt0124.htm,5
pt0124.htm,6
pt0124.htm,7
pt0124.htm,8
pt0124.htm,9
pt0124.htm,10
pt0124.htm,11
pt0124.htm,12
pt0124.htm,13
pt0124.htm,14
pt0124.htm,15
pt0124.htm,16
pt0124.htm,17
pt0124.htm,18
pt0124.htm,19
pt0124.htm,20
pt0124.htm,21
pt0124.htm,22
pt0124.htm,23
pt0124.htm,24
pt0124.htm,25
pt0124.htm,26
pt0124.htm,27
pt0124.htm,28
pt0124.htm,29
pt0124.htm,30
pt0124.htm,31
pt0124.htm,32
pt0124.htm,33
pt0124.htm,34
pt0124.htm,35
pt0124.htm,36
pt0124.htm,37
pt0124.htm,38
pt0124.htm,39
pt0124.htm,40
pt0124.htm,41
pt0124.htm,42
pt0124.htm,43
pt0124.htm,44
pt0124.htm,45
pt0124.htm,46
pt0124.htm,47
pt0124.htm,48
pt0124.htm,49
pt0124.htm,50
pt0124.htm,51
pt0124.htm,52
pt0124.htm,53
pt0124.htm,54
pt0124.htm,55
pt0124.htm,56
pt0124.htm,57
pt0124.htm,58
pt0124.htm,59
pt0124.htm,60
pt0124.htm,61
pt0124.htm,62
pt0124.htm,63
pt0124.htm,64
pt0124.htm,65
pt0124.htm,66
pt0124.htm,67
pt0125.htm,1
pt0125.htm,2
pt0125.htm,3
pt0125.htm,4
pt0125.htm,5
pt0125.htm,6
pt0125.htm,7
pt0125.htm,8
pt0125.htm,9
pt0125.htm,10
pt0125.htm,11
pt0125.htm,12
pt0125.htm,13
pt0125.htm,14
pt0125.htm,15
pt0125.htm,16
pt0125.htm,17
pt0125.htm,18
pt0125.htm,19
pt0125.htm,20
pt0125.htm,21
pt0125.htm,22
pt0125.htm,23
pt0125.htm,24
pt0125.htm,25
pt0125.htm,26
pt0125.htm,27
pt0125.htm,28
pt0125.htm,29
pt0125.htm,30
pt0125.htm,31
pt0125.htm,32
pt0125.htm,33
pt0125.htm,34
pt0126.htm,1
pt0126.htm,2
pt0126.htm,3
pt0126.htm,4
pt0126.htm,5
pt0126.htm,6
pt0126.htm,7
pt0126.htm,8
pt0126.htm,9
pt0126.htm,10
pt0126.htm,11
pt0126.htm,12
pt0126.htm,13
pt0126.htm,14
pt0126.htm,15
pt0126.htm,16
pt0126.htm,17
pt0126.htm,18
pt0126.htm,19
pt0126.htm,20
pt0126.htm,21
pt0126.htm,22
pt0126.htm,23
pt0126.htm,24
pt0126.htm,25
pt0126.htm,26
pt0126.htm,27
pt0126.htm,28
pt0126.htm,29
pt0126.htm,30
pt0126.htm,31
pt0126.htm,32
pt0126.htm,33
pt0126.htm,34
pt0126.htm,35
pt0127.htm,1
pt0127.htm,2
pt0127.htm,3
pt0127.htm,4
pt0127.htm,5
pt0127.htm,6
pt0127.htm,7
pt0127.htm,8
pt0127.htm,9
pt0127.htm,10
pt0127.htm,11
pt0127.htm,12
pt0127.htm,13
pt0127.htm,14
pt0127.htm,15
pt0127.htm,16
pt0127.htm,17
pt0127.htm,18
pt0127.htm,19
pt0127.htm,20
pt0127.htm,21
pt0127.htm,22
pt0127.htm,23
pt0127.htm,24
pt0127.htm,25
pt0127.htm,26
pt0127.htm,27
pt0127.htm,28
pt0127.htm,29
pt0127.htm,30
pt0127.htm,31
pt0127.htm,32
pt0127.htm,33
pt0127.htm,34
pt0127.htm,35
pt0127.htm,36
pt0127.htm,37
pt0127.htm,38
pt0127.htm,39
pt0127.htm,40
pt0127.htm,41
pt0127.htm,42
pt0127.htm,43
pt0127.htm,44
pt0127.htm,45
pt0127.htm,46
pt0128.htm,1
pt0128.htm,2
pt0128.htm,3
pt0128.htm,4
pt0128.htm,5
pt0128.htm,6
pt0128.htm,7
pt0128.htm,8
pt0128.htm,9
pt0128.htm,10
pt0128.htm,11
pt0128.htm,12
pt0128.htm,13
pt0128.htm,14
pt0128.htm,15
pt0128.htm,16
pt0128.htm,17
pt0128.htm,18
pt0128.htm,19
pt0128.htm,20
pt0128.htm,21
pt0128.htm,22
pt0129.htm,1
pt0129.htm,2
pt0129.htm,3
pt0129.htm,4
pt0129.htm,5
pt0129.htm,6
pt0129.htm,7
pt0129.htm,8
pt0129.htm,9
pt0129.htm,10
pt0129.htm,11
pt0129.htm,12
pt0129.htm,13
pt0129.htm,14
pt0129.htm,15
pt0129.htm,16
pt0129.htm,17
pt0129.htm,18
pt0129.htm,19
pt0129.htm,20
pt0129.htm,21
pt0129.htm,22
pt0129.htm,23
pt0129.htm,24
pt0129.htm,25
pt0129.htm,26
pt0129.htm,27
pt0129.htm,28
pt0129.htm,29
pt0129.htm,30
pt0129.htm,31
pt0129.htm,32
pt0129.htm,33
pt0129.htm,34
pt0129.htm,35
pt0130.htm,1
pt0130.htm,2
pt0130.htm,3
pt0130.htm,4
pt0130.htm,5
pt0130.htm,6
pt0130.htm,7
pt0130.htm,8
pt0130.htm,9
pt0130.htm,10
pt0130.htm,11
pt0130.htm,12
pt0130.htm,13
pt0130.htm,14
pt0130.htm,15
pt0130.htm,16
pt0130.htm,17
pt0130.htm,18
pt0130.htm,19
pt0130.htm,20
pt0130.htm,21
pt0130.htm,22
pt0130.htm,23
pt0130.htm,24
pt0130.htm,25
pt0130.htm,26
pt0130.htm,27
pt0130.htm,28
pt0130.htm,29
pt0130.htm,30
pt0130.htm,31
pt0130.htm,32
pt0130.htm,33
pt0130.htm,34
pt0130.htm,35
pt0130.htm,36
pt0130.htm,37
pt0130.htm,38
pt0130.htm,39
pt0130.htm,40
pt0130.htm,41
pt0130.htm,42
pt0130.htm,43
pt0131.htm,1
pt0131.htm,2
pt0131.htm,3
pt0131.htm,4
pt0131.htm,5
pt0131.htm,6
pt0131.htm,7
pt0131.htm,8
pt0131.htm,9
pt0131.htm,10
pt0131.htm,11
pt0131.htm,12
pt0131.htm,13
pt0131.htm,14
pt0131.htm,15
pt0131.htm,16
pt0131.htm,17
pt0131.htm,18
pt0131.htm,19
pt0131.htm,20
pt0131.htm,21
pt0131.htm,22
pt0131.htm,23
pt0131.htm,24
pt0131.htm,25
pt0131.htm,26
pt0131.htm,27
pt0131.htm,28
pt0131.htm,29
pt0131.htm,30
pt0131.htm,31
pt0131.htm,32
pt0131.htm,33
pt0131.htm,34
pt0131.htm,35
pt0131.htm,36
pt0131.htm,37
pt0131.htm,38
pt0131.htm,39
pt0131.htm,40
pt0131.htm,41
pt0131.htm,42
pt0131.htm,43
pt0131.htm,44
pt0131.htm,45
pt0131.htm,46
pt0131.htm,47
pt0131.htm,48
pt0131.htm,49
pt0131.htm,50
pt0131.htm,51
pt0131.htm,52
pt0131.htm,53
pt0131.htm,54
pt0132.htm,1
pt0132.htm,2
pt0132.htm,3
pt0132.htm,4
pt0132.htm,5
pt0132.htm,6
pt0132.htm,7
pt0132.htm,8
pt0132.htm,9
pt0132.htm,10
pt0132.htm,11
pt0132.htm,12
pt0132.htm,13
pt0132.htm,14
pt0132.htm,15
pt0132.htm,16
pt0132.htm,17
pt0132.htm,18
pt0132.htm,19
pt0132.htm,20
pt0132.htm,21
pt0132.htm,22
pt0132.htm,23
pt0132.htm,24
pt0132.htm,25
pt0132.htm,26
pt0132.htm,27
pt0132.htm,28
pt0132.htm,29
pt0132.htm,30
pt0132.htm,31
pt0132.htm,32
pt0132.htm,33
pt0133.htm,1
pt0133.htm,2
pt0133.htm,3
pt0133.htm,4
pt0133.htm,5
pt0133.htm,6
pt0133.htm,7
pt0133.htm,8
pt0133.htm,9
pt0133.htm,10
pt0133.htm,11
pt0133.htm,12
pt0133.htm,13
pt0133.htm,14
pt0133.htm,15
pt0133.htm,16
pt0133.htm,17
pt0133.htm,18
pt0133.htm,19
pt0133.htm,20
pt0134.htm,1
pt0134.htm,2
pt0134.htm,3
pt0134.htm,4
pt0134.htm,5
pt0134.htm,6
pt0134.htm,7
pt0134.htm,8
pt0134.htm,9
pt0134.htm,10
pt0134.htm,11
pt0134.htm,12
pt0134.htm,13
pt0134.htm,14
pt0134.htm,15
pt0134.htm,16
pt0134.htm,17
pt0134.htm,18
pt0134.htm,19
pt0134.htm,20
pt0134.htm,21
pt0134.htm,22
pt0134.htm,23
pt0134.htm,24
pt0134.htm,25
pt0134.htm,26
pt0134.htm,27
pt0134.htm,28
pt0134.htm,29
pt0134.htm,30
pt0134.htm,31
pt0135.htm,1
pt0135.htm,2
pt0135.htm,3
pt0135.htm,4
pt0135.htm,5
pt0135.htm,6
pt0135.htm,7
pt0135.htm,8
pt0135.htm,9
pt0135.htm,10
pt0135.htm,11
pt0135.htm,12
pt0135.htm,13
pt0135.htm,14
pt0135.htm,15
pt0135.htm,16
pt0135.htm,17
pt0135.htm,18
pt0135.htm,19
pt0135.htm,20
pt0135.htm,21
pt0135.htm,22
pt0135.htm,23
pt0135.htm,24
pt0135.htm,25
pt0135.htm,26
pt0135.htm,27
pt0135.htm,28
pt0135.htm,29
pt0136.htm,1
pt0136.htm,2
pt0136.htm,3
pt0136.htm,4
pt0136.htm,5
pt0136.htm,6
pt0136.htm,7
pt0136.htm,8
pt0136.htm,9
pt0136.htm,10
pt0136.htm,11
pt0136.htm,12
pt0136.htm,13
pt0136.htm,14
pt0136.htm,15
pt0136.htm,16
pt0136.htm,17
pt0136.htm,18
pt0136.htm,19
pt0136.htm,20
pt0136.htm,21
pt0136.htm,22
pt0136.htm,23
pt0136.htm,24
pt0136.htm,25
pt0136.htm,26
pt0136.htm,27
pt0136.htm,28
pt0136.htm,29
pt0136.htm,30
pt0136.htm,31
pt0136.htm,32
pt0136.htm,33
pt0136.htm,34
pt0136.htm,35
pt0136.htm,36
pt0136.htm,37
pt0136.htm,38
pt0136.htm,39
pt0136.htm,40
pt0136.htm,41
pt0136.htm,42
pt0136.htm,43
pt0137.htm,1
pt0137.htm,2
pt0137.htm,3
pt0137.htm,4
pt0137.htm,5
pt0137.htm,6
pt0137.htm,7
pt0137.htm,8
pt0137.htm,9
pt0137.htm,10
pt0137.htm,11
pt0137.htm,12
pt0137.htm,13
pt0137.htm,14
pt0137.htm,15
pt0137.htm,16
pt0137.htm,17
pt0137.htm,18
pt0137.htm,19
pt0137.htm,20
pt0137.htm,21
pt0137.htm,22
pt0137.htm,23
pt0137.htm,24
pt0137.htm,25
pt0137.htm,26
pt0137.htm,27
pt0137.htm,28
pt0137.htm,29
pt0137.htm,30
pt0137.htm,31
pt0137.htm,32
pt0137.htm,33
pt0137.htm,34
pt0137.htm,35
pt0137.htm,36
pt0138.htm,1
pt0138.htm,2
pt0138.htm,3
pt0138.htm,4
pt0138.htm,5
pt0138.htm,6
pt0138.htm,7
pt0138.htm,8
pt0138.htm,9
pt0138.htm,10
pt0138.htm,11
pt0138.htm,12
pt0138.htm,13
pt0138.htm,14
pt0138.htm,15
pt0138.htm,16
pt0138.htm,17
pt0138.htm,18
pt0138.htm,19
pt0138.htm,20
pt0138.htm,21
pt0138.htm,22
pt0138.htm,23
pt0138.htm,24
pt0138.htm,25
pt0138.htm,26
pt0138.htm,27
pt0138.htm,28
pt0138.htm,29
pt0138.htm,30
pt0139.htm,1
pt0139.htm,2
pt0139.htm,3
pt0139.htm,4
pt0139.htm,5
pt0139.htm,6
pt0139.htm,7
pt0139.htm,8
pt0139.htm,9
pt0139.htm,10
pt0139.htm,11
pt0139.htm,12
pt0139.htm,13
pt0139.htm,14
pt0139.htm,15
pt0139.htm,16
pt0139.htm,17
pt0139.htm,18
pt0139.htm,19
pt0139.htm,20
pt0139.htm,21
pt0139.htm,22
pt0139.htm,23
pt0140.htm,1
pt0140.htm,2
pt0140.htm,3
pt0140.htm,4
pt0140.htm,5
pt0140.htm,6
pt0140.htm,7
pt0140.htm,8
pt0140.htm,9
pt0140.htm,10
pt0140.htm,11
pt0140.htm,12
pt0140.htm,13
pt0140.htm,14
pt0140.htm,15
pt0140.htm,16
pt0140.htm,17
pt0140.htm,18
pt0140.htm,19
pt0140.htm,20
pt0140.htm,21
pt0140.htm,22
pt0140.htm,23
pt0141.htm,1
pt0141.htm,2
pt0141.htm,3
pt0141.htm,4
pt0141.htm,5
pt0141.htm,6
pt0141.htm,7
pt0141.htm,8
pt0141.htm,9
pt0141.htm,10
pt0141.htm,11
pt0141.htm,12
pt0141.htm,13
pt0141.htm,14
pt0141.htm,15
pt0141.htm,16
pt0141.htm,17
pt0141.htm,18
pt0141.htm,19
pt0141.htm,20
pt0141.htm,21
pt0141.htm,22
pt0141.htm,23
pt0141.htm,24
pt0141.htm,25
pt0141.htm,26
pt0141.htm,27
pt0141.htm,28
pt0141.htm,29
pt0141.htm,30
pt0141.htm,31
pt0141.htm,32
pt0141.htm,33
pt0141.htm,34
pt0141.htm,35
pt0141.htm,36
pt0141.htm,37
pt0141.htm,38
pt0141.htm,39
pt0141.htm,40
pt0141.htm,41
pt0141.htm,42
pt0141.htm,43
pt0141.htm,44
pt0141.htm,45
pt0141.htm,46
pt0141.htm,47
pt0141.htm,48
pt0141.htm,49
pt0141.htm,50
pt0141.htm,51
pt0141.htm,52
pt0141.htm,53
pt0141.htm,54
pt0141.htm,55
pt0141.htm,56
pt0141.htm,57
pt0142.htm,1
pt0142.htm,2
pt0142.htm,3
pt0142.htm,4
pt0142.htm,5
pt0142.htm,6
pt0142.htm,7
pt0142.htm,8
pt0142.htm,9
pt0142.htm,10
pt0142.htm,11
pt0142.htm,12
pt0142.htm,13
pt0142.htm,14
pt0142.htm,15
pt0142.htm,16
pt0142.htm,17
pt0142.htm,18
pt0142.htm,19
pt0142.htm,20
pt0142.htm,21
pt0142.htm,22
pt0142.htm,23
pt0142.htm,24
pt0142.htm,25
pt0142.htm,26
pt0142.htm,27
pt0142.htm,28
pt0142.htm,29
pt0142.htm,30
pt0142.htm,31
pt0142.htm,32
pt0142.htm,33
pt0142.htm,34
pt0142.htm,35
pt0142.htm,36
pt0142.htm,37
pt0142.htm,38
pt0143.htm,1
pt0143.htm,2
pt0143.htm,3
pt0143.htm,4
pt0143.htm,5
pt0143.htm,6
pt0143.htm,7
pt0143.htm,8
pt0143.htm,9
pt0143.htm,10
pt0143.htm,11
pt0143.htm,12
pt0143.htm,13
pt0143.htm,14
pt0143.htm,15
pt0143.htm,16
pt0143.htm,17
pt0143.htm,18
pt0143.htm,19
pt0143.htm,20
pt0143.htm,21
pt0143.htm,22
pt0143.htm,23
pt0143.htm,24
pt0143.htm,25
pt0143.htm,26
pt0143.htm,27
pt0143.htm,28
pt0143.htm,29
pt0143.htm,30
pt0143.htm,31
pt0143.htm,32
pt0143.htm,33
pt0143.htm,34
pt0144.htm,1
pt0144.htm,2
pt0144.htm,3
pt0144.htm,4
pt0144.htm,5
pt0144.htm,6
pt0144.htm,7
pt0144.htm,8
pt0144.htm,9
pt0144.htm,10
pt0144.htm,11
pt0144.htm,12
pt0144.htm,13
pt0144.htm,14
pt0144.htm,15
pt0144.htm,16
pt0144.htm,17
pt0144.htm,18
pt0144.htm,19
pt0144.htm,20
pt0144.htm,21
pt0144.htm,22
pt0144.htm,23
pt0144.htm,24
pt0144.htm,25
pt0144.htm,26
pt0144.htm,27
pt0144.htm,28
pt0144.htm,29
pt0144.htm,30
pt0144.htm,31
pt0144.htm,32
pt0144.htm,33
pt0144.htm,34
pt0145.htm,1
pt0145.htm,2
pt0145.htm,3
pt0145.htm,4
pt0145.htm,5
pt0145.htm,6
pt0145.htm,7
pt0145.htm,8
pt0145.htm,9
pt0145.htm,10
pt0145.htm,11
pt0145.htm,12
pt0145.htm,13
pt0145.htm,14
pt0145.htm,15
pt0145.htm,16
pt0145.htm,17
pt0145.htm,18
pt0145.htm,19
pt0145.htm,20
pt0145.htm,21
pt0145.htm,22
pt0145.htm,23
pt0145.htm,24
pt0145.htm,25
pt0145.htm,26
pt0145.htm,27
pt0145.htm,28
pt0146.htm,1
pt0146.htm,2
pt0146.htm,3
pt0146.htm,4
pt0146.htm,5
pt0146.htm,6
pt0146.htm,7
pt0146.htm,8
pt0146.htm,9
pt0146.htm,10
pt0146.htm,11
pt0146.htm,12
